School Name,Site Name,Userid,Latitude,Longitude,Elevation,Measured At,Solar Measured At,Solar Noon At,Current Temp,Minimum Temp,Maximum Temp
Canyon Weather,ATM- Davis Station #2,,34.1248,-117.7493,475.0,2019-10-19 19:15:00,2019-10-19 11:41:00,2019-10-19 19:35:00,24.3,14.3,26.6
Canyon Weather,ATM- Davis Station #2,,34.1248,-117.7493,475.0,2019-10-18 19:30:00,2019-10-18 11:56:00,2019-10-18 19:36:00,22.5,12.6,25.6
Canyon Weather,ATM- Davis Station #2,,34.1248,-117.7493,475.0,2019-10-17 19:30:00,2019-10-17 11:55:00,2019-10-17 19:36:00,23.9,15.3,33.7
Canyon Weather,ATM- Davis Station #2,,34.1248,-117.7493,475.0,2019-10-16 19:30:00,2019-10-16 11:55:00,2019-10-16 19:36:00,32.2,19.6,32.2
Canyon Weather,ATM- Davis Station #2,,34.1248,-117.7493,475.0,2019-10-15 19:30:00,2019-10-15 11:55:00,2019-10-15 19:36:00,28.1,13.4,28.1
Canyon Weather,ATM- Davis Station #2,,34.1248,-117.7493,475.0,2019-10-14 19:30:00,2019-10-14 11:55:00,2019-10-14 19:37:00,21.1,12.8,26.9
Canyon Weather,ATM- Davis Station #2,,34.1248,-117.7493,475.0,2019-10-13 19:30:00,2019-10-13 11:55:00,2019-10-13 19:37:00,24.6,15.3,30.7
Canyon Weather,ATM- Davis Station #2,,34.1248,-117.7493,475.0,2019-10-12 19:30:00,2019-10-12 11:54:00,2019-10-12 19:37:00,27.8,15.1,30.3
Canyon Weather,ATM- Davis Station #2,,34.1248,-117.7493,475.0,2019-10-11 19:30:00,2019-10-11 11:54:00,2019-10-11 19:37:00,28.3,16.3,28.3
Canyon Weather,ATM- Davis Station #2,,34.1248,-117.7493,475.0,2019-10-10 19:30:00,2019-10-10 11:54:00,2019-10-10 19:38:00,22.9,13.9,26.1
Canyon Weather,ATM- Davis Station #2,,34.1248,-117.7493,475.0,2019-10-09 19:30:00,2019-10-09 11:53:00,2019-10-09 19:38:00,23.4,12.9,29.2
Canyon Weather,ATM- Davis Station #2,,34.1248,-117.7493,475.0,2019-10-08 19:30:00,2019-10-08 11:53:00,2019-10-08 19:38:00,27.8,15.8,32.1
Canyon Weather,ATM- Davis Station #2,,34.1248,-117.7493,475.0,2019-10-07 19:30:00,2019-10-07 11:53:00,2019-10-07 19:38:00,32.2,16.8,33.2
Canyon Weather,ATM- Davis Station #2,,34.1248,-117.7493,475.0,2019-10-06 19:45:00,2019-10-06 12:07:00,2019-10-06 19:39:00,31.8,14.3,31.4
Canyon Weather,ATM- Davis Station #2,,34.1248,-117.7493,475.0,2019-10-05 19:45:00,2019-10-05 12:07:00,2019-10-05 19:39:00,28.4,13.1,28.3
Canyon Weather,ATM- Davis Station #2,,34.1248,-117.7493,475.0,2019-10-04 19:45:00,2019-10-04 12:07:00,2019-10-04 19:39:00,24.3,12.6,27.3
Canyon Weather,ATM- Davis Station #2,,34.1248,-117.7493,475.0,2019-10-03 19:45:00,2019-10-03 12:06:00,2019-10-03 19:40:00,26.4,13.1,29.6
Canyon Weather,ATM- Davis Station #2,,34.1248,-117.7493,475.0,2019-10-02 19:45:00,2019-10-02 12:06:00,2019-10-02 19:40:00,27.3,11.9,26.8
