School Name,Site Name,Userid,Latitude,Longitude,Elevation,Measured At,Solar Measured At,Solar Noon At,Current Temp,Minimum Temp,Maximum Temp
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-10-19 17:00:10,2019-10-19 11:57:00,2019-10-19 17:05:00,29.0,26.0,29.7
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-10-18 17:00:10,2019-10-18 11:56:00,2019-10-18 17:05:00,29.1,24.6,32.9
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-10-17 17:00:00,2019-10-17 11:56:00,2019-10-17 17:05:00,31.2,24.6,32.3
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-10-16 17:00:10,2019-10-16 11:56:00,2019-10-16 17:06:00,28.4,24.4,29.5
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-10-15 17:00:00,2019-10-15 11:56:00,2019-10-15 17:06:00,28.5,24.5,29.1
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-10-14 17:00:00,2019-10-14 11:55:00,2019-10-14 17:06:00,27.6,26.2,29.8
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-10-13 17:00:10,2019-10-13 11:55:00,2019-10-13 17:06:00,27.8,25.9,28.6
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-10-12 16:59:30,2019-10-12 11:54:00,2019-10-12 17:06:00,27.7,24.0,30.0
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-10-11 17:00:10,2019-10-11 11:55:00,2019-10-11 17:07:00,29.1,26.3,29.9
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-10-10 17:00:10,2019-10-10 11:54:00,2019-10-10 17:07:00,29.3,23.7,31.5
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-10-09 17:00:00,2019-10-09 11:54:00,2019-10-09 17:07:00,30.3,22.6,30.3
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-10-08 17:00:10,2019-10-08 11:54:00,2019-10-08 17:08:00,26.8,23.6,26.8
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-10-07 17:00:00,2019-10-07 11:53:00,2019-10-07 17:08:00,27.5,25.0,29.3
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-10-06 17:00:00,2019-10-06 11:53:00,2019-10-06 17:08:00,29.3,25.6,29.4
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-10-05 17:00:00,2019-10-05 11:53:00,2019-10-05 17:08:00,28.6,25.8,29.9
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-10-04 17:00:00,2019-10-04 11:52:00,2019-10-04 17:09:00,29.2,26.1,29.5
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-10-03 17:00:40,2019-10-03 11:53:00,2019-10-03 17:09:00,28.3,25.9,28.8
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-10-02 17:01:00,2019-10-02 11:53:00,2019-10-02 17:09:00,28.1,25.3,29.2
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-10-01 17:15:50,2019-10-01 12:07:00,2019-10-01 17:10:00,28.2,25.3,29.4
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-09-30 17:05:10,2019-09-30 11:56:00,2019-09-30 17:10:00,29.0,26.6,29.6
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-09-29 17:16:00,2019-09-29 12:07:00,2019-09-29 17:10:00,29.0,26.6,30.1
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-09-28 17:15:50,2019-09-28 12:06:00,2019-09-28 17:11:00,29.5,26.4,30.2
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-09-27 17:16:20,2019-09-27 12:06:00,2019-09-27 17:11:00,29.4,26.4,29.2
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-09-26 17:16:10,2019-09-26 12:05:00,2019-09-26 17:11:00,29.1,25.5,29.3
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-09-25 17:16:30,2019-09-25 12:05:00,2019-09-25 17:12:00,28.4,22.5,29.1
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-09-24 17:16:10,2019-09-24 12:05:00,2019-09-24 17:12:00,28.5,23.1,29.3
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-09-23 17:16:10,2019-09-23 12:04:00,2019-09-23 17:12:00,29.1,25.7,28.8
Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6.0,2019-09-22 17:16:00,2019-09-22 12:04:00,2019-09-22 17:13:00,28.4,26.1,28.5
