School Name,Site Name,Userid,Latitude,Longitude,Elevation,Measured At,Solar Measured At,Solar Noon At,Current Temp,Minimum Temp,Maximum Temp
Lycée Henri Matisse,1Lycée Henri Matisse Cugnaux,,43.532,1.41,143.0,2019-10-11 11:45:00,2019-10-11 12:06:00,2019-10-11 11:41:00,24.6,6.9,24.6
Lycée Henri Matisse,1Lycée Henri Matisse Cugnaux,,43.532,1.41,143.0,2019-10-10 11:45:00,2019-10-10 12:05:00,2019-10-10 11:41:00,20.4,10.6,20.5
Lycée Henri Matisse,1Lycée Henri Matisse Cugnaux,,43.532,1.41,143.0,2019-10-09 11:45:00,2019-10-09 12:05:00,2019-10-09 11:41:00,16.6,14.4,28.7
Lycée Henri Matisse,1Lycée Henri Matisse Cugnaux,,43.532,1.41,143.0,2019-10-08 11:45:00,2019-10-08 12:05:00,2019-10-08 11:41:00,25.1,9.9,24.5
Lycée Henri Matisse,1Lycée Henri Matisse Cugnaux,,43.532,1.41,143.0,2019-10-07 11:45:00,2019-10-07 12:04:00,2019-10-07 11:42:00,19.6,11.6,21.6
Lycée Henri Matisse,1Lycée Henri Matisse Cugnaux,,43.532,1.41,143.0,2019-10-06 11:45:00,2019-10-06 12:04:00,2019-10-06 11:42:00,20.9,15.8,22.4
Lycée Henri Matisse,1Lycée Henri Matisse Cugnaux,,43.532,1.41,143.0,2019-10-05 11:45:00,2019-10-05 12:04:00,2019-10-05 11:42:00,20.6,13.2,20.7
Lycée Henri Matisse,1Lycée Henri Matisse Cugnaux,,43.532,1.41,143.0,2019-10-04 11:45:00,2019-10-04 12:03:00,2019-10-04 11:43:00,18.6,9.4,21.9
Lycée Henri Matisse,1Lycée Henri Matisse Cugnaux,,43.532,1.41,143.0,2019-10-03 11:45:00,2019-10-03 12:03:00,2019-10-03 11:43:00,19.6,12.2,21.1
Lycée Henri Matisse,1Lycée Henri Matisse Cugnaux,,43.532,1.41,143.0,2019-10-02 11:45:00,2019-10-02 12:03:00,2019-10-02 11:43:00,19.6,15.3,28.4
Lycée Henri Matisse,1Lycée Henri Matisse Cugnaux,,43.532,1.41,143.0,2019-10-01 11:45:00,2019-10-01 12:02:00,2019-10-01 11:44:00,27.8,12.7,28.8
Lycée Henri Matisse,1Lycée Henri Matisse Cugnaux,,43.532,1.41,143.0,2019-09-30 11:45:00,2019-09-30 12:02:00,2019-09-30 11:44:00,24.0,19.3,31.2
Lycée Henri Matisse,1Lycée Henri Matisse Cugnaux,,43.532,1.41,143.0,2019-09-29 11:45:00,2019-09-29 12:02:00,2019-09-29 11:44:00,28.7,10.4,28.3
Lycée Henri Matisse,1Lycée Henri Matisse Cugnaux,,43.532,1.41,143.0,2019-09-28 11:45:00,2019-09-28 12:01:00,2019-09-28 11:45:00,22.8,15.6,26.6
Lycée Henri Matisse,1Lycée Henri Matisse Cugnaux,,43.532,1.41,143.0,2019-09-27 11:45:00,2019-09-27 12:01:00,2019-09-27 11:45:00,24.3,12.3,25.2
