School Name,Site Name,Userid,Latitude,Longitude,Elevation,Measured At,Solar Measured At,Solar Noon At,Current Temp,Minimum Temp,Maximum Temp
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-10-19 17:30:00,2019-10-19 11:55:00,2019-10-19 17:37:00,17.0,7.8,17.0
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-10-18 17:30:10,2019-10-18 11:55:00,2019-10-18 17:37:00,13.7,0.9,13.7
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-10-17 17:30:10,2019-10-17 11:54:00,2019-10-17 17:37:00,11.3,3.6,11.7
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-10-16 17:30:10,2019-10-16 11:54:00,2019-10-16 17:37:00,9.7,6.9,17.3
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-10-15 17:30:20,2019-10-15 11:54:00,2019-10-15 17:38:00,12.7,3.1,12.7
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-10-14 17:30:00,2019-10-14 11:54:00,2019-10-14 17:38:00,9.8,2.0,11.6
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-10-13 17:30:00,2019-10-13 11:53:00,2019-10-13 17:38:00,9.8,1.7,12.4
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-10-12 17:30:10,2019-10-12 11:53:00,2019-10-12 17:38:00,8.3,1.0,8.3
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-10-11 17:30:00,2019-10-11 11:53:00,2019-10-11 17:39:00,8.4,8.4,21.1
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-10-10 17:31:20,2019-10-10 11:54:00,2019-10-10 17:39:00,20.1,11.4,22.6
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-10-09 17:30:10,2019-10-09 11:52:00,2019-10-09 17:39:00,21.4,8.6,22.4
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-10-08 17:45:00,2019-10-08 12:07:00,2019-10-08 17:39:00,21.1,5.4,21.2
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-10-07 17:45:00,2019-10-07 12:07:00,2019-10-07 17:40:00,20.3,7.8,20.0
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-10-06 17:45:10,2019-10-06 12:06:00,2019-10-06 17:40:00,18.4,8.8,18.4
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-10-05 17:45:00,2019-10-05 12:06:00,2019-10-05 17:40:00,16.2,8.2,16.1
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-10-04 17:45:00,2019-10-04 12:06:00,2019-10-04 17:41:00,13.0,7.3,18.3
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-10-03 17:46:10,2019-10-03 12:06:00,2019-10-03 17:41:00,18.3,14.8,19.1
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-10-02 17:46:20,2019-10-02 12:06:00,2019-10-02 17:41:00,15.1,14.3,30.3
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-10-01 17:47:20,2019-10-01 12:07:00,2019-10-01 17:42:00,29.5,21.6,29.3
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-30 17:46:00,2019-09-30 12:05:00,2019-09-30 17:42:00,28.3,17.3,27.8
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-29 17:45:50,2019-09-29 12:05:00,2019-09-29 17:42:00,17.3,13.4,17.3
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-28 17:45:30,2019-09-28 12:04:00,2019-09-28 17:43:00,14.5,14.3,20.2
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-27 17:45:40,2019-09-27 12:04:00,2019-09-27 17:43:00,15.0,14.2,22.4
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-26 17:45:40,2019-09-26 12:03:00,2019-09-26 17:43:00,20.5,12.8,25.9
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-25 17:45:10,2019-09-25 12:02:00,2019-09-25 17:44:00,23.0,16.4,25.9
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-19 17:45:10,2019-09-19 12:00:00,2019-09-19 17:46:00,28.9,16.1,28.4
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-18 17:46:10,2019-09-18 12:00:00,2019-09-18 17:46:00,26.2,15.9,29.0
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-16 17:44:10,2019-09-16 11:57:00,2019-09-16 17:47:00,24.1,20.2,25.8
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-15 17:45:50,2019-09-15 11:59:00,2019-09-15 17:47:00,20.7,17.0,27.5
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-14 17:46:10,2019-09-14 11:59:00,2019-09-14 17:47:00,24.2,12.6,24.2
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-13 17:45:40,2019-09-13 11:58:00,2019-09-13 17:48:00,23.0,20.9,27.7
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-12 17:46:00,2019-09-12 11:58:00,2019-09-12 17:48:00,24.1,18.4,31.3
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-11 17:45:40,2019-09-11 11:57:00,2019-09-11 17:49:00,29.6,22.4,31.2
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-10 17:46:00,2019-09-10 11:57:00,2019-09-10 17:49:00,30.0,21.2,30.0
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-09 17:45:10,2019-09-09 11:56:00,2019-09-09 17:49:00,21.2,16.1,21.2
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-08 17:45:00,2019-09-08 11:55:00,2019-09-08 17:50:00,16.5,16.3,25.6
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-07 17:45:00,2019-09-07 11:55:00,2019-09-07 17:50:00,23.6,12.1,23.6
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-06 17:45:50,2019-09-06 11:55:00,2019-09-06 17:50:00,21.4,16.9,25.0
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-05 17:45:30,2019-09-05 11:54:00,2019-09-05 17:51:00,21.4,12.5,22.0
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-04 17:45:30,2019-09-04 11:54:00,2019-09-04 17:51:00,21.3,15.1,27.0
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-03 17:45:30,2019-09-03 11:53:00,2019-09-03 17:51:00,21.4,18.6,28.3
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-02 17:45:30,2019-09-02 11:53:00,2019-09-02 17:52:00,26.8,15.4,26.8
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-09-01 17:45:40,2019-09-01 11:53:00,2019-09-01 17:52:00,20.5,15.7,25.2
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-31 17:45:40,2019-08-31 11:52:00,2019-08-31 17:52:00,23.4,13.2,24.4
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-30 17:45:50,2019-08-30 11:52:00,2019-08-30 17:53:00,22.8,14.4,28.3
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-29 17:45:10,2019-08-29 11:51:00,2019-08-29 17:53:00,26.7,13.3,26.7
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-28 17:46:10,2019-08-28 11:52:00,2019-08-28 17:53:00,22.3,14.8,25.7
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-27 17:45:50,2019-08-27 11:51:00,2019-08-27 17:53:00,24.6,18.2,24.8
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-26 17:45:40,2019-08-26 11:51:00,2019-08-26 17:54:00,22.2,18.3,25.6
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-25 17:45:30,2019-08-25 11:50:00,2019-08-25 17:54:00,24.6,15.2,24.7
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-24 17:45:40,2019-08-24 11:50:00,2019-08-24 17:54:00,23.0,14.6,23.2
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-23 17:45:40,2019-08-23 11:50:00,2019-08-23 17:54:00,23.0,14.1,23.8
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-20 17:45:30,2019-08-20 11:49:00,2019-08-20 17:55:00,20.8,20.6,30.9
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-19 17:46:00,2019-08-19 11:49:00,2019-08-19 17:55:00,31.3,19.5,31.3
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-18 17:45:30,2019-08-18 11:48:00,2019-08-18 17:56:00,25.0,20.0,25.0
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-17 17:45:50,2019-08-17 11:48:00,2019-08-17 17:56:00,22.0,19.3,29.1
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-16 17:45:30,2019-08-16 11:48:00,2019-08-16 17:56:00,26.2,16.3,27.0
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-15 17:45:50,2019-08-15 11:48:00,2019-08-15 17:56:00,24.9,16.6,28.7
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-14 17:46:30,2019-08-14 11:48:00,2019-08-14 17:57:00,26.7,18.0,30.6
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-13 17:45:10,2019-08-13 11:47:00,2019-08-13 17:57:00,28.2,20.9,28.4
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-12 17:46:10,2019-08-12 11:48:00,2019-08-12 17:57:00,27.5,20.8,27.7
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-11 17:45:10,2019-08-11 11:46:00,2019-08-11 17:57:00,24.8,18.2,30.7
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-10 17:46:20,2019-08-10 11:47:00,2019-08-10 17:57:00,27.8,16.9,28.3
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-09 17:46:00,2019-08-09 11:47:00,2019-08-09 17:57:00,26.0,14.7,29.8
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-08 17:45:40,2019-08-08 11:46:00,2019-08-08 17:57:00,28.7,21.6,30.3
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-08-07 17:45:30,2019-08-07 11:46:00,2019-08-07 17:58:00,29.3,17.7,29.3
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-07-08 17:46:30,2019-07-08 11:48:00,2019-07-08 17:57:00,28.6,17.0,28.6
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-07-07 17:45:50,2019-07-07 11:48:00,2019-07-07 17:57:00,23.3,18.6,25.5
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-07-06 17:45:30,2019-07-06 11:48:00,2019-07-06 17:57:00,24.8,23.1,33.0
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-07-05 17:45:40,2019-07-05 11:48:00,2019-07-05 17:56:00,31.3,22.3,33.2
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-07-04 17:45:30,2019-07-04 11:48:00,2019-07-04 17:56:00,30.1,21.1,33.1
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-07-03 17:45:40,2019-07-03 11:48:00,2019-07-03 17:56:00,29.2,20.1,33.1
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-07-02 17:45:20,2019-07-02 11:48:00,2019-07-02 17:56:00,32.7,24.6,32.7
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-06-30 17:45:40,2019-06-30 11:49:00,2019-06-30 17:55:00,33.7,20.9,34.2
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-06-29 17:46:00,2019-06-29 11:50:00,2019-06-29 17:55:00,32.4,20.8,32.4
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-06-28 17:45:30,2019-06-28 11:49:00,2019-06-28 17:55:00,24.7,21.1,32.8
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-06-27 17:45:40,2019-06-27 11:50:00,2019-06-27 17:55:00,30.1,19.5,32.9
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-06-26 17:45:10,2019-06-26 11:49:00,2019-06-26 17:55:00,30.0,19.0,30.0
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-06-25 17:45:10,2019-06-25 11:50:00,2019-06-25 17:54:00,28.2,15.8,28.2
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-06-24 17:45:50,2019-06-24 11:51:00,2019-06-24 17:54:00,21.0,20.6,27.4
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-06-23 17:46:00,2019-06-23 11:51:00,2019-06-23 17:54:00,24.0,17.6,27.7
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-06-22 17:45:40,2019-06-22 11:51:00,2019-06-22 17:54:00,27.0,15.5,27.0
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-06-21 17:45:40,2019-06-21 11:51:00,2019-06-21 17:54:00,22.5,9.8,22.8
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-06-20 17:46:00,2019-06-20 11:52:00,2019-06-20 17:53:00,16.1,12.6,21.9
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-06-19 17:46:00,2019-06-19 11:52:00,2019-06-19 17:53:00,21.3,15.7,27.8
St Joan of Arc,SJA WeatherBug Station,,41.7958,-88.0703,227.4,2019-06-18 17:46:10,2019-06-18 11:52:00,2019-06-18 17:53:00,25.5,12.9,25.5
