School Name,Site Name,Userid,Latitude,Longitude,Elevation,Measured At,Solar Measured At,Solar Noon At,Current Temp,Minimum Temp,Maximum Temp
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-10-19 16:29:41,2019-10-19 12:01:00,2019-10-19 16:30:00,12.3,0.8,13.7
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-10-18 16:29:37,2019-10-18 12:00:00,2019-10-18 16:31:00,11.6,7.8,11.6
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-10-17 16:29:30,2019-10-17 12:00:00,2019-10-17 16:31:00,9.0,7.6,16.0
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-10-16 16:29:51,2019-10-16 12:00:00,2019-10-16 16:31:00,15.1,0.3,16.6
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-10-15 16:29:10,2019-10-15 11:59:00,2019-10-15 16:31:00,13.6,4.7,20.4
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-10-14 16:29:47,2019-10-14 12:00:00,2019-10-14 16:32:00,17.6,2.7,20.1
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-10-13 16:29:30,2019-10-13 11:59:00,2019-10-13 16:32:00,17.6,7.1,18.3
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-10-12 16:29:44,2019-10-12 11:59:00,2019-10-12 16:32:00,11.4,9.2,13.2
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-10-11 16:29:29,2019-10-11 11:59:00,2019-10-11 16:32:00,12.2,9.3,12.2
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-10-10 16:29:32,2019-10-10 11:58:00,2019-10-10 16:33:00,11.1,9.0,11.7
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-10-09 16:29:47,2019-10-09 11:58:00,2019-10-09 16:33:00,11.6,7.4,16.4
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-10-08 16:29:29,2019-10-08 11:58:00,2019-10-08 16:33:00,15.2,12.2,24.6
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-10-07 16:29:32,2019-10-07 11:57:00,2019-10-07 16:33:00,22.3,15.8,22.4
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-10-06 16:29:26,2019-10-06 11:57:00,2019-10-06 16:34:00,15.6,-0.4,15.7
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-10-05 16:29:48,2019-10-05 11:57:00,2019-10-05 16:34:00,12.6,-0.7,13.7
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-10-04 16:29:43,2019-10-04 11:57:00,2019-10-04 16:34:00,13.4,7.9,13.5
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-10-03 16:29:50,2019-10-03 11:56:00,2019-10-03 16:35:00,10.7,7.3,22.8
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-10-02 16:29:32,2019-10-02 11:56:00,2019-10-02 16:35:00,22.1,18.2,23.2
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-10-01 16:29:44,2019-10-01 11:55:00,2019-10-01 16:35:00,17.9,11.6,18.0
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-30 16:29:09,2019-09-30 11:55:00,2019-09-30 16:36:00,14.5,7.4,21.9
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-29 16:29:44,2019-09-29 11:55:00,2019-09-29 16:36:00,20.4,17.2,25.5
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-28 16:29:39,2019-09-28 11:54:00,2019-09-28 16:36:00,22.9,9.0,22.9
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-27 16:28:43,2019-09-27 11:53:00,2019-09-27 16:37:00,19.6,8.2,25.8
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-26 16:29:37,2019-09-26 11:53:00,2019-09-26 16:37:00,24.3,9.2,24.7
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-25 16:29:35,2019-09-25 11:53:00,2019-09-25 16:37:00,19.2,10.6,24.1
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-24 16:29:37,2019-09-24 11:53:00,2019-09-24 16:38:00,22.7,15.9,30.9
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-23 16:44:35,2019-09-23 12:07:00,2019-09-23 16:38:00,27.9,18.1,28.7
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-22 16:44:31,2019-09-22 12:07:00,2019-09-22 16:38:00,27.4,11.4,29.9
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-21 16:44:43,2019-09-21 12:06:00,2019-09-21 16:39:00,27.3,11.2,28.1
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-20 16:44:42,2019-09-20 12:06:00,2019-09-20 16:39:00,23.6,4.0,23.4
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-19 16:44:40,2019-09-19 12:06:00,2019-09-19 16:39:00,18.7,2.8,17.3
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-18 16:44:47,2019-09-18 12:05:00,2019-09-18 16:40:00,14.7,9.3,19.7
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-17 16:44:50,2019-09-17 12:05:00,2019-09-17 16:40:00,18.9,6.6,21.3
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-16 16:44:38,2019-09-16 12:04:00,2019-09-16 16:40:00,19.3,12.1,24.7
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-15 16:44:51,2019-09-15 12:04:00,2019-09-15 16:41:00,22.8,16.1,22.6
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-14 16:44:38,2019-09-14 12:03:00,2019-09-14 16:41:00,17.7,5.0,19.6
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-13 16:44:37,2019-09-13 12:03:00,2019-09-13 16:42:00,17.2,7.6,17.9
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-12 16:44:37,2019-09-12 12:03:00,2019-09-12 16:42:00,14.4,14.0,28.2
Littleton Middle School,Weather Station:ATM-01,,42.5356,-71.4895,48.0,2019-09-11 16:44:35,2019-09-11 12:02:00,2019-09-11 16:42:00,25.5,17.8,25.2
