School Name,Site Name,Userid,Latitude,Longitude,Elevation,Measured At,Solar Measured At,Solar Noon At,Current Temp,Minimum Temp,Maximum Temp
Trinity School,Trinity Parking Lot  Asphalt and school roof:ATM-02,,39.592,-83.0257,281.8,2019-10-19 17:15:50,2019-10-19 12:01:00,2019-10-19 17:17:00,14.7,2.5,16.4
Trinity School,Trinity Parking Lot  Asphalt and school roof:ATM-02,,39.592,-83.0257,281.8,2019-10-18 17:16:00,2019-10-18 12:01:00,2019-10-18 17:17:00,13.4,2.8,12.8
Trinity School,Trinity Parking Lot  Asphalt and school roof:ATM-02,,39.592,-83.0257,281.8,2019-10-17 17:15:36,2019-10-17 12:00:00,2019-10-17 17:17:00,10.1,6.5,10.0
Trinity School,Trinity Parking Lot  Asphalt and school roof:ATM-02,,39.592,-83.0257,281.8,2019-10-16 17:15:42,2019-10-16 12:00:00,2019-10-16 17:17:00,7.4,7.2,21.7
Trinity School,Trinity Parking Lot  Asphalt and school roof:ATM-02,,39.592,-83.0257,281.8,2019-10-15 17:15:38,2019-10-15 12:00:00,2019-10-15 17:17:00,17.5,4.5,17.5
Trinity School,Trinity Parking Lot  Asphalt and school roof:ATM-02,,39.592,-83.0257,281.8,2019-10-14 17:15:30,2019-10-14 11:59:00,2019-10-14 17:18:00,14.8,6.4,19.0
Trinity School,Trinity Parking Lot  Asphalt and school roof:ATM-02,,39.592,-83.0257,281.8,2019-10-13 17:15:37,2019-10-13 11:59:00,2019-10-13 17:18:00,15.1,2.1,15.1
Trinity School,Trinity Parking Lot  Asphalt and school roof:ATM-02,,39.592,-83.0257,281.8,2019-10-12 17:15:21,2019-10-12 11:59:00,2019-10-12 17:18:00,8.0,3.0,23.3
Trinity School,Trinity Parking Lot  Asphalt and school roof:ATM-02,,39.592,-83.0257,281.8,2019-10-11 17:14:35,2019-10-11 11:57:00,2019-10-11 17:18:00,23.1,15.0,25.8
Trinity School,Trinity Parking Lot  Asphalt and school roof:ATM-02,,39.592,-83.0257,281.8,2019-10-10 17:15:34,2019-10-10 11:58:00,2019-10-10 17:19:00,22.2,11.0,22.6
Trinity School,Trinity Parking Lot  Asphalt and school roof:ATM-02,,39.592,-83.0257,281.8,2019-10-09 17:15:31,2019-10-09 11:58:00,2019-10-09 17:19:00,19.4,8.1,20.6
Trinity School,Trinity Parking Lot  Asphalt and school roof:ATM-02,,39.592,-83.0257,281.8,2019-10-08 17:15:37,2019-10-08 11:58:00,2019-10-08 17:19:00,18.5,7.8,19.0
Trinity School,Trinity Parking Lot  Asphalt and school roof:ATM-02,,39.592,-83.0257,281.8,2019-10-07 17:15:34,2019-10-07 11:57:00,2019-10-07 17:20:00,14.0,12.3,23.4
Trinity School,Trinity Parking Lot  Asphalt and school roof:ATM-02,,39.592,-83.0257,281.8,2019-10-06 17:15:30,2019-10-06 11:57:00,2019-10-06 17:20:00,23.0,15.6,23.6
Trinity School,Trinity Parking Lot  Asphalt and school roof:ATM-02,,39.592,-83.0257,281.8,2019-10-04 17:15:07,2019-10-04 11:56:00,2019-10-04 17:20:00,17.7,10.4,31.7
Trinity School,Trinity Parking Lot  Asphalt and school roof:ATM-02,,39.592,-83.0257,281.8,2019-10-03 17:15:31,2019-10-03 11:56:00,2019-10-03 17:21:00,30.6,19.5,32.6
Trinity School,Trinity Parking Lot  Asphalt and school roof:ATM-02,,39.592,-83.0257,281.8,2019-10-02 17:15:34,2019-10-02 11:56:00,2019-10-02 17:21:00,30.2,19.9,32.5
