School Name,Site Name,Userid,Latitude,Longitude,Elevation,Measured At,Solar Measured At,Solar Noon At,Current Temp,Minimum Temp,Maximum Temp
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-10-19 19:44:41,2019-10-19 11:51:00,2019-10-19 19:55:00,13.4,11.5,17.3
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-10-18 19:44:42,2019-10-18 11:51:00,2019-10-18 19:55:00,16.7,9.1,17.8
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-10-17 19:44:42,2019-10-17 11:50:00,2019-10-17 19:56:00,13.9,12.3,16.7
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-10-16 19:44:52,2019-10-16 11:50:00,2019-10-16 19:56:00,15.3,12.7,21.7
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-10-15 19:44:23,2019-10-15 11:50:00,2019-10-15 19:56:00,21.1,7.0,21.1
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-10-14 19:44:44,2019-10-14 11:50:00,2019-10-14 19:56:00,15.5,6.2,21.3
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-10-13 19:44:40,2019-10-13 11:49:00,2019-10-13 19:57:00,17.4,11.3,17.8
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-10-12 19:44:30,2019-10-12 11:49:00,2019-10-12 19:57:00,16.2,5.1,23.3
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-10-11 19:44:35,2019-10-11 11:49:00,2019-10-11 19:57:00,16.4,3.1,21.2
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-10-10 19:44:33,2019-10-10 11:49:00,2019-10-10 19:57:00,15.0,2.2,16.0
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-10-09 19:44:25,2019-10-09 11:48:00,2019-10-09 19:58:00,14.0,4.5,15.8
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-10-08 19:44:29,2019-10-08 11:48:00,2019-10-08 19:58:00,15.4,12.3,24.4
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-10-07 19:44:54,2019-10-07 11:48:00,2019-10-07 19:58:00,20.1,8.5,23.7
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-10-06 19:44:47,2019-10-06 11:47:00,2019-10-06 19:58:00,16.9,6.4,21.4
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-10-05 19:44:49,2019-10-05 11:47:00,2019-10-05 19:59:00,19.1,7.5,19.3
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-10-04 19:44:42,2019-10-04 11:47:00,2019-10-04 19:59:00,17.6,10.6,20.1
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-10-03 19:45:14,2019-10-03 11:47:00,2019-10-03 19:59:00,19.3,11.1,19.3
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-10-02 19:45:00,2019-10-02 11:46:00,2019-10-02 20:00:00,16.9,5.0,20.4
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-09-29 19:45:45,2019-09-29 11:46:00,2019-09-29 20:01:00,16.2,6.8,18.8
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-09-28 19:45:13,2019-09-28 11:45:00,2019-09-28 20:01:00,14.5,9.5,22.2
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-09-27 19:45:17,2019-09-27 11:45:00,2019-09-27 20:01:00,20.5,11.4,22.9
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-09-26 19:45:06,2019-09-26 11:44:00,2019-09-26 20:02:00,21.7,11.4,25.1
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-09-25 19:59:49,2019-09-25 11:58:00,2019-09-25 20:02:00,22.5,11.9,27.1
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-09-24 19:59:46,2019-09-24 11:58:00,2019-09-24 20:02:00,22.5,17.7,23.1
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-09-23 19:59:40,2019-09-23 11:57:00,2019-09-23 20:03:00,21.7,14.2,22.6
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-09-22 19:59:48,2019-09-22 11:57:00,2019-09-22 20:03:00,19.3,14.7,26.1
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-09-21 19:59:43,2019-09-21 11:57:00,2019-09-21 20:03:00,22.5,13.3,23.7
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-09-20 19:59:49,2019-09-20 11:56:00,2019-09-20 20:04:00,20.4,16.0,23.7
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-08-01 20:15:06,2019-08-01 11:57:00,2019-08-01 20:17:00,26.7,12.6,29.5
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-31 20:15:10,2019-07-31 11:57:00,2019-07-31 20:17:00,26.4,11.4,26.4
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-30 20:15:07,2019-07-30 11:57:00,2019-07-30 20:17:00,20.9,12.5,28.9
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-29 20:15:27,2019-07-29 11:57:00,2019-07-29 20:17:00,26.6,11.3,29.1
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-28 20:15:30,2019-07-28 11:57:00,2019-07-28 20:17:00,25.8,11.7,27.4
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-27 20:15:14,2019-07-27 11:57:00,2019-07-27 20:17:00,24.2,13.2,33.8
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-26 20:15:28,2019-07-26 11:57:00,2019-07-26 20:17:00,30.1,13.2,32.2
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-25 20:15:22,2019-07-25 11:57:00,2019-07-25 20:17:00,28.2,9.9,28.2
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-24 20:15:22,2019-07-24 11:57:00,2019-07-24 20:17:00,25.1,9.9,25.8
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-23 20:15:03,2019-07-23 11:57:00,2019-07-23 20:17:00,23.3,12.0,29.5
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-22 20:15:10,2019-07-22 11:57:00,2019-07-22 20:17:00,25.7,12.5,31.0
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-21 20:15:06,2019-07-21 11:57:00,2019-07-21 20:17:00,25.9,12.2,29.3
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-20 20:15:01,2019-07-20 11:57:00,2019-07-20 20:17:00,26.2,7.9,26.2
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-19 20:15:15,2019-07-19 11:57:00,2019-07-19 20:17:00,22.2,9.0,24.9
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-18 20:15:28,2019-07-18 11:57:00,2019-07-18 20:16:00,22.7,15.1,25.0
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-17 20:15:01,2019-07-17 11:57:00,2019-07-17 20:16:00,22.4,15.0,27.7
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-16 20:15:10,2019-07-16 11:57:00,2019-07-16 20:16:00,23.0,15.6,25.2
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-15 20:15:35,2019-07-15 11:58:00,2019-07-15 20:16:00,19.8,15.8,29.9
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-14 20:15:17,2019-07-14 11:58:00,2019-07-14 20:16:00,26.7,12.5,28.7
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-13 20:15:03,2019-07-13 11:57:00,2019-07-13 20:16:00,24.9,14.1,29.7
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-12 20:15:10,2019-07-12 11:58:00,2019-07-12 20:16:00,26.0,13.3,28.0
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-11 20:15:09,2019-07-11 11:58:00,2019-07-11 20:16:00,25.2,16.9,25.2
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-10 20:15:33,2019-07-10 11:58:00,2019-07-10 20:16:00,23.0,15.5,26.1
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-09 20:15:12,2019-07-09 11:58:00,2019-07-09 20:15:00,20.9,13.3,28.0
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-08 20:15:34,2019-07-08 11:59:00,2019-07-08 20:15:00,23.0,9.3,24.5
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-07 20:15:38,2019-07-07 11:59:00,2019-07-07 20:15:00,22.3,11.9,23.9
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-06 20:15:09,2019-07-06 11:59:00,2019-07-06 20:15:00,18.1,13.7,23.5
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-05 20:15:36,2019-07-05 11:59:00,2019-07-05 20:15:00,20.3,11.2,28.2
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-04 20:15:36,2019-07-04 12:00:00,2019-07-04 20:15:00,24.6,9.4,25.4
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-03 20:15:21,2019-07-03 12:00:00,2019-07-03 20:14:00,20.4,11.2,20.9
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-07-02 20:15:17,2019-07-02 12:00:00,2019-07-02 20:14:00,15.9,12.9,20.4
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-06-30 20:15:33,2019-06-30 12:00:00,2019-06-30 20:14:00,25.2,10.2,26.8
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-06-29 20:15:02,2019-06-29 12:00:00,2019-06-29 20:14:00,23.7,8.0,24.6
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-06-28 20:15:35,2019-06-28 12:01:00,2019-06-28 20:13:00,19.7,7.4,20.2
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-06-27 20:15:33,2019-06-27 12:01:00,2019-06-27 20:13:00,13.8,9.7,21.4
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-06-26 20:15:28,2019-06-26 12:01:00,2019-06-26 20:13:00,20.3,11.3,22.4
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-06-25 20:15:37,2019-06-25 12:02:00,2019-06-25 20:13:00,21.4,10.2,23.9
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-06-24 20:15:11,2019-06-24 12:02:00,2019-06-24 20:13:00,22.0,7.9,22.6
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-06-23 20:15:17,2019-06-23 12:02:00,2019-06-23 20:12:00,18.9,12.7,23.1
Lourdes Public Charter School,School Site:ATM-02,,44.7225,-122.6898,188.3,2019-06-22 20:15:05,2019-06-22 12:02:00,2019-06-22 20:12:00,21.4,7.8,22.1
