School Name,Site Name,Userid,Latitude,Longitude,Elevation,Measured At,Solar Measured At,Solar Noon At,Current Temp,Minimum Temp,Maximum Temp
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-10-19 08:46:00,2019-10-19 12:21:00,2019-10-19 08:26:00,,21.0,37.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-10-18 08:46:00,2019-10-18 12:21:00,2019-10-18 08:26:00,,26.0,35.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-10-17 08:46:00,2019-10-17 12:21:00,2019-10-17 08:27:00,,23.0,39.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-10-16 08:46:00,2019-10-16 12:21:00,2019-10-16 08:27:00,,24.0,38.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-10-15 08:46:00,2019-10-15 12:20:00,2019-10-15 08:27:00,,24.0,37.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-10-14 08:46:00,2019-10-14 12:20:00,2019-10-14 08:27:00,,24.0,38.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-10-12 08:46:00,2019-10-12 12:20:00,2019-10-12 08:28:00,,24.0,41.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-10-11 08:46:00,2019-10-11 12:19:00,2019-10-11 08:28:00,,27.0,40.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-10-10 08:46:00,2019-10-10 12:19:00,2019-10-10 08:28:00,,25.0,40.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-10-09 08:46:00,2019-10-09 12:19:00,2019-10-09 08:29:00,,26.0,38.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-10-08 08:46:00,2019-10-08 12:18:00,2019-10-08 08:29:00,,28.0,39.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-10-07 08:46:00,2019-10-07 12:18:00,2019-10-07 08:29:00,,23.0,38.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-10-06 08:46:00,2019-10-06 12:18:00,2019-10-06 08:29:00,,23.0,40.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-10-05 08:46:00,2019-10-05 12:17:00,2019-10-05 08:30:00,,29.0,39.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-10-04 08:46:00,2019-10-04 12:17:00,2019-10-04 08:30:00,,28.0,45.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-10-03 08:46:00,2019-10-03 12:17:00,2019-10-03 08:30:00,,27.0,45.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-10-02 08:46:00,2019-10-02 12:16:00,2019-10-02 08:31:00,,25.0,46.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-10-01 08:46:00,2019-10-01 12:16:00,2019-10-01 08:31:00,,25.0,44.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-29 08:46:00,2019-09-29 12:15:00,2019-09-29 08:32:00,,26.0,44.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-28 08:46:00,2019-09-28 12:15:00,2019-09-28 08:32:00,,26.0,43.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-27 08:46:00,2019-09-27 12:14:00,2019-09-27 08:32:00,,28.0,42.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-26 08:46:00,2019-09-26 12:14:00,2019-09-26 08:33:00,,28.0,42.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-25 08:46:00,2019-09-25 12:14:00,2019-09-25 08:33:00,,26.0,40.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-24 08:46:00,2019-09-24 12:13:00,2019-09-24 08:33:00,,23.0,41.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-22 08:46:00,2019-09-22 12:12:00,2019-09-22 08:34:00,,25.0,44.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-21 08:46:00,2019-09-21 12:12:00,2019-09-21 08:34:00,,28.0,44.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-20 08:46:00,2019-09-20 12:12:00,2019-09-20 08:35:00,,27.0,43.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-19 08:46:00,2019-09-19 12:11:00,2019-09-19 08:35:00,,26.0,44.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-18 08:46:00,2019-09-18 12:11:00,2019-09-18 08:35:00,,27.0,44.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-17 08:46:00,2019-09-17 12:10:00,2019-09-17 08:36:00,,26.0,42.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-15 08:46:00,2019-09-15 12:09:00,2019-09-15 08:37:00,,23.0,44.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-14 08:46:00,2019-09-14 12:09:00,2019-09-14 08:37:00,,26.0,42.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-13 08:46:00,2019-09-13 12:09:00,2019-09-13 08:37:00,,26.0,42.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-12 08:46:00,2019-09-12 12:08:00,2019-09-12 08:38:00,,28.0,43.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-11 08:46:00,2019-09-11 12:08:00,2019-09-11 08:38:00,,27.0,43.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-10 08:46:00,2019-09-10 12:07:00,2019-09-10 08:38:00,,27.0,42.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-09 08:46:00,2019-09-09 12:07:00,2019-09-09 08:39:00,,26.0,43.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-08 08:46:00,2019-09-08 12:06:00,2019-09-08 08:39:00,,28.0,44.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-07 08:46:00,2019-09-07 12:06:00,2019-09-07 08:39:00,,30.0,45.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-06 08:46:00,2019-09-06 12:06:00,2019-09-06 08:40:00,,28.0,47.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-05 08:46:00,2019-09-05 12:05:00,2019-09-05 08:40:00,,30.0,47.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-04 08:46:00,2019-09-04 12:05:00,2019-09-04 08:40:00,,27.0,47.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-03 08:46:00,2019-09-03 12:04:00,2019-09-03 08:41:00,,30.0,47.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-02 08:46:00,2019-09-02 12:04:00,2019-09-02 08:41:00,,30.0,45.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-09-01 08:46:00,2019-09-01 12:04:00,2019-09-01 08:41:00,,31.0,48.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-08-31 08:46:00,2019-08-31 12:03:00,2019-08-31 08:42:00,,30.0,48.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-08-30 08:46:00,2019-08-30 12:03:00,2019-08-30 08:42:00,,29.0,47.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-08-29 08:46:00,2019-08-29 12:03:00,2019-08-29 08:42:00,,28.0,47.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-08-27 08:46:00,2019-08-27 12:02:00,2019-08-27 08:43:00,,26.0,47.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-08-26 08:46:00,2019-08-26 12:02:00,2019-08-26 08:43:00,,29.0,46.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-08-25 08:46:00,2019-08-25 12:01:00,2019-08-25 08:43:00,,28.0,46.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-08-24 08:46:00,2019-08-24 12:01:00,2019-08-24 08:44:00,,28.0,44.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-08-23 08:46:00,2019-08-23 12:01:00,2019-08-23 08:44:00,,28.0,46.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-08-22 08:46:00,2019-08-22 12:00:00,2019-08-22 08:44:00,,30.0,46.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-08-20 08:46:00,2019-08-20 12:00:00,2019-08-20 08:45:00,,31.0,47.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-08-19 08:46:00,2019-08-19 11:59:00,2019-08-19 08:45:00,,31.0,45.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-08-18 08:46:00,2019-08-18 11:59:00,2019-08-18 08:45:00,,30.0,47.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-08-17 08:46:00,2019-08-17 11:59:00,2019-08-17 08:45:00,,31.0,46.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-08-16 08:46:00,2019-08-16 11:59:00,2019-08-16 08:46:00,,33.0,46.0
Al-Anjal Intermediate School at Al-Ahsa,al-anjal intermediate school at al-ahsa,19945870,25.3803,49.56663,150.0,2019-08-15 08:46:00,2019-08-15 11:58:00,2019-08-15 08:46:00,,30.0,46.0
