School Name,Site Name,Userid,Latitude,Longitude,Elevation,Measured At,Solar Measured At,Solar Noon At,Current Temp,Minimum Temp,Maximum Temp
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-10-19 18:01:10,2019-10-19 11:53:00,2019-10-19 18:10:00,26.6,12.8,26.5
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-10-18 18:16:14,2019-10-18 12:08:00,2019-10-18 18:10:00,21.2,7.7,21.6
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-10-17 18:15:58,2019-10-17 12:07:00,2019-10-17 18:10:00,18.9,6.8,19.3
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-10-16 18:15:48,2019-10-16 12:07:00,2019-10-16 18:10:00,17.4,11.2,27.8
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-10-15 18:15:39,2019-10-15 12:06:00,2019-10-15 18:11:00,25.6,19.4,25.2
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-10-14 18:15:42,2019-10-14 12:06:00,2019-10-14 18:11:00,22.2,14.8,24.5
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-10-13 18:15:43,2019-10-13 12:06:00,2019-10-13 18:11:00,22.2,8.8,21.5
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-10-12 18:15:30,2019-10-12 12:05:00,2019-10-12 18:11:00,15.9,1.7,16.1
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-10-11 18:15:55,2019-10-11 12:06:00,2019-10-11 18:12:00,11.2,5.0,32.1
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-10-10 18:15:52,2019-10-10 12:05:00,2019-10-10 18:12:00,29.6,23.3,29.4
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-10-09 18:15:31,2019-10-09 12:05:00,2019-10-09 18:12:00,27.3,14.7,26.6
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-10-08 18:15:50,2019-10-08 12:05:00,2019-10-08 18:12:00,23.3,10.8,24.8
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-10-07 18:15:51,2019-10-07 12:04:00,2019-10-07 18:13:00,22.5,14.9,34.7
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-10-06 18:15:46,2019-10-06 12:04:00,2019-10-06 18:13:00,32.6,22.2,34.1
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-10-05 18:08:36,2019-10-05 11:56:00,2019-10-05 18:13:00,31.6,20.7,31.6
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-10-04 18:15:46,2019-10-04 12:03:00,2019-10-04 18:14:00,28.5,21.2,34.9
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-09-27 18:15:35,2019-09-27 12:00:00,2019-09-27 18:16:00,30.7,22.1,34.9
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-09-26 18:15:33,2019-09-26 12:00:00,2019-09-26 18:16:00,33.5,22.9,35.2
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-09-25 18:15:32,2019-09-25 12:00:00,2019-09-25 18:17:00,32.6,23.7,34.3
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-09-24 18:16:06,2019-09-24 12:00:00,2019-09-24 18:17:00,31.3,24.0,33.8
Ruth Cherry Intermediate School,Intermediate:ATM-01,,32.9858,-96.3219,539.0,2019-09-23 18:15:57,2019-09-23 11:59:00,2019-09-23 18:17:00,33.0,24.6,33.0
