School Name,Site Name,Userid,Latitude,Longitude,Elevation,Measured At,Solar Measured At,Solar Noon At,Current Temp,Minimum Temp,Maximum Temp
Freedom High School (USVAGZGJ),AWS WeatherBug:ATM-01,,38.9218,-77.5286,111.0,2019-10-19 16:44:34,2019-10-19 11:51:00,2019-10-19 16:55:00,14.7,1.6,15.1
Freedom High School (USVAGZGJ),AWS WeatherBug:ATM-01,,38.9218,-77.5286,111.0,2019-10-18 16:44:42,2019-10-18 11:51:00,2019-10-18 16:55:00,12.8,7.5,12.8
Freedom High School (USVAGZGJ),AWS WeatherBug:ATM-01,,38.9218,-77.5286,111.0,2019-10-17 16:44:28,2019-10-17 11:51:00,2019-10-17 16:55:00,12.1,9.2,13.5
Freedom High School (USVAGZGJ),AWS WeatherBug:ATM-01,,38.9218,-77.5286,111.0,2019-10-16 16:44:43,2019-10-16 11:51:00,2019-10-16 16:55:00,12.1,9.4,21.8
Freedom High School (USVAGZGJ),AWS WeatherBug:ATM-01,,38.9218,-77.5286,111.0,2019-10-15 16:44:42,2019-10-15 11:51:00,2019-10-15 16:55:00,19.3,5.4,22.9
Freedom High School (USVAGZGJ),AWS WeatherBug:ATM-01,,38.9218,-77.5286,111.0,2019-10-14 16:44:49,2019-10-14 11:51:00,2019-10-14 16:56:00,20.9,4.9,20.9
Freedom High School (USVAGZGJ),AWS WeatherBug:ATM-01,,38.9218,-77.5286,111.0,2019-10-13 16:44:44,2019-10-13 11:50:00,2019-10-13 16:56:00,17.0,9.4,19.5
Freedom High School (USVAGZGJ),AWS WeatherBug:ATM-01,,38.9218,-77.5286,111.0,2019-10-12 16:44:43,2019-10-12 11:50:00,2019-10-12 16:56:00,19.1,8.6,21.9
Freedom High School (USVAGZGJ),AWS WeatherBug:ATM-01,,38.9218,-77.5286,111.0,2019-10-11 16:44:54,2019-10-11 11:50:00,2019-10-11 16:56:00,19.3,10.5,21.9
Freedom High School (USVAGZGJ),AWS WeatherBug:ATM-01,,38.9218,-77.5286,111.0,2019-10-10 16:44:53,2019-10-10 11:49:00,2019-10-10 16:57:00,18.1,9.3,19.6
Freedom High School (USVAGZGJ),AWS WeatherBug:ATM-01,,38.9218,-77.5286,111.0,2019-10-09 16:44:41,2019-10-09 11:49:00,2019-10-09 16:57:00,17.8,10.7,17.8
